Ticker,Date/Time,Close,% Today,% Week,% Month,% Top,Volume,% Volume,Value,BarSwing<7%,Short,Middle,Long,EPS,Market,Industry,Sector
AAA,17/09/2021 00:00:00,16.55,3.44,1.53,8.47,-10.90,11029700.00,157.40,182541520.00,2.00,Buy,Buy,Buy,1.26,HSX,1350 Hoa chat,1000 Nguyen vat lieu
AAV,17/09/2021 00:00:00,27.00,5.06,3.45,90.14,-2.53,2254700.00,267.95,60876900.00,0.00,Buy,Buy,Buy,0.44,HNX,3570 San xuat thuc pham,3000 Hang Tieu dung
ACB,17/09/2021 00:00:00,31.60,0.96,-2.17,-10.48,-17.28,4572300.00,62.84,144484688.00,17.00,Sell,Sell,Buy,3.99,HSX,8350 Ngan hang,8000 Tai chinh
AGG,17/09/2021 00:00:00,43.95,0.23,-3.41,-13.14,-22.21,467400.00,53.79,20542230.00,5.00,Sell,Sell,Buy,5.07,HSX,8630 Bat dong san,8000 Tai chinh
AGR,17/09/2021 00:00:00,17.10,3.95,-0.29,22.14,-6.04,2913600.00,73.85,49822560.00,2.00,Buy,Buy,Buy,0.57,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
AMV,17/09/2021 00:00:00,11.40,0.00,-7.32,21.28,-14.93,1887600.00,53.83,21518640.00,2.00,Sell,Buy,Buy,0.30,HNX,4570 Duoc pham,4000 Duoc pham va Y te
ANV,17/09/2021 00:00:00,30.60,0.66,-5.85,4.08,-12.07,470300.00,45.96,14391180.00,2.00,Buy,Buy,Buy,1.74,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
APG,17/09/2021 00:00:00,24.80,-6.94,5.76,130.70,-17.33,6019100.00,163.13,149273680.00,0.00,Buy,Buy,Buy,0.95,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
ASM,17/09/2021 00:00:00,16.40,0.92,0.31,5.81,-6.82,5070900.00,84.41,83162760.00,3.00,Buy,Buy,Buy,1.80,HSX,8630 Bat dong san,8000 Tai chinh
BCG,17/09/2021 00:00:00,18.60,0.81,0.00,14.46,-7.69,3963700.00,64.02,73724824.00,2.00,Buy,Buy,Buy,1.63,HSX,8770 Dich vu tai chinh,8000 Tai chinh
BFC,17/09/2021 00:00:00,33.05,4.59,-3.92,-8.70,-19.39,686400.00,98.16,22685520.00,0.00,Sell,Buy,Buy,3.19,HSX,1350 Hoa chat,1000 Nguyen vat lieu
BMI,17/09/2021 00:00:00,36.85,2.93,9.02,6.50,-0.94,1369000.00,177.89,50447648.00,1.00,Buy,Buy,Buy,2.44,HSX,None,None
BSR,17/09/2021 00:00:00,19.00,-0.52,5.56,-3.55,-14.03,7942600.00,82.54,150909408.00,2.00,Buy,Sell,Buy,0.44,UPCOM,0530 San xuat Dau khi,0001 Dau khi
BVS,17/09/2021 00:00:00,33.80,1.50,-1.17,14.19,-8.40,467600.00,44.95,15804880.00,4.00,Sell,Buy,Buy,1.84,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
BWE,17/09/2021 00:00:00,40.15,-0.62,-2.43,6.92,-4.86,281200.00,50.32,11290180.00,4.00,Buy,Buy,Buy,3.09,HSX,7570 Nuoc & Khi dot,7000 Tien ich Cong dong
C4G,17/09/2021 00:00:00,11.50,1.77,4.75,12.51,-3.56,2758900.00,70.73,31727350.00,1.00,Buy,Buy,Buy,0.64,UPCOM,2350 Xay dung va Vat lieu,2000 Cong nghiep
CKG,17/09/2021 00:00:00,25.20,3.28,4.35,32.63,-0.20,2498100.00,83.41,62952120.00,2.00,Buy,Buy,Buy,1.87,HSX,8630 Bat dong san,8000 Tai chinh
CMX,17/09/2021 00:00:00,13.95,0.36,-1.76,12.05,-11.71,416900.00,52.86,5815755.00,5.00,Sell,Buy,Buy,1.38,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
CRE,17/09/2021 00:00:00,32.10,0.00,1.17,8.19,-8.81,2740400.00,132.55,87966832.00,1.00,Buy,Buy,Buy,3.91,HSX,8630 Bat dong san,8000 Tai chinh
CSV,17/09/2021 00:00:00,57.00,6.94,22.58,66.91,0.00,1007500.00,159.22,57427500.00,1.00,Buy,Buy,Buy,3.86,HSX,1350 Hoa chat,1000 Nguyen vat lieu
CTD,17/09/2021 00:00:00,68.30,0.15,-2.15,0.29,-4.48,179900.00,40.06,12287171.00,13.00,Buy,Buy,Buy,4.98,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
CTI,17/09/2021 00:00:00,16.40,-1.80,-0.39,5.99,-4.37,1041000.00,81.31,17072400.00,2.00,Buy,Buy,Buy,1.56,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
CTR,17/09/2021 00:00:00,81.80,3.28,0.37,-0.97,-4.77,817700.00,86.69,66887864.00,9.00,Sell,Buy,Buy,4.10,UPCOM,2350 Xay dung va Vat lieu,2000 Cong nghiep
CTS,17/09/2021 00:00:00,29.60,4.23,-1.82,31.56,-8.78,919800.00,43.24,27226080.00,2.00,Buy,Buy,Buy,2.44,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
D2D,17/09/2021 00:00:00,56.90,1.43,0.18,8.88,-2.74,310600.00,106.14,17673140.00,11.00,Buy,Buy,Buy,8.79,HSX,8630 Bat dong san,8000 Tai chinh
DBC,17/09/2021 00:00:00,64.70,3.52,4.35,15.33,-1.07,4890200.00,173.05,316395936.00,7.00,Buy,Buy,Buy,13.52,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
DCM,17/09/2021 00:00:00,25.05,1.01,0.40,13.86,-4.75,6065700.00,118.79,151945776.00,3.00,Buy,Buy,Buy,1.38,HSX,1350 Hoa chat,1000 Nguyen vat lieu
